Number,Name,Country,Region,Type,ActivityEvidence,LastKnownEruption,Latitude,Longitude,Elevation(Meters),DominantRockType,TectonicSetting
290070,Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,Kuril Islands,Complex,Eruption Observed,2013,45.012,147.871,1158,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
300230,Kizimen,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,2013,55.131,160.32,2334,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300240,Tolbachik,Russia,Kamchatka and Mainland Asia,Shield,Eruption Observed,2013,55.832,160.326,3611,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
312070,Veniaminof,United States,Alaska,Stratovolcano,Eruption Observed,2013,56.17,-159.38,2507,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
360050,Soufrière Hills,United Kingdom,West Indies,Stratovolcano,Eruption Observed,2013,16.72,-62.18,915,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
243060,Tofua,Tonga,New Zealand to Fiji,Caldera,Eruption Observed,2014,-19.75,-175.07,515,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
251030,Karkar,Papua New Guinea,Melanesia and Australia,Stratovolcano,Eruption Observed,2014,-4.649,145.964,1839,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
252140,Rabaul,Papua New Guinea,Melanesia and Australia,Pyroclastic shield,Eruption Observed,2014,-4.271,152.203,688,Dacite,Subduction Zone / Continental Crust (>25 km)
262000,Krakatau,Indonesia,Indonesia,Caldera,Eruption Observed,2014,-6.102,105.423,813,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263180,Slamet,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014,-7.242,109.208,3428,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263250,Merapi,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014,-7.542,110.442,2968,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263280,Kelut,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014,-7.93,112.308,1731,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264150,Paluweh,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014,-8.32,121.708,875,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
273030,Mayon,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,2014,13.257,123.685,2462,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
283040,Ontakesan,Japan,"Japan, Taiwan, Marianas",Complex,Eruption Observed,2014,35.893,137.48,3067,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
284141,Ahyi,United States,"Japan, Taiwan, Marianas",Submarine,Eruption Dated,2014,20.42,145.03,-75,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
290290,Sinarka,Russia,Kuril Islands,Stratovolcano,Eruption Observed,2014,48.875,154.175,934,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
345020,Rincon de la Vieja,Costa Rica,México and Central America,Complex,Eruption Observed,2014,10.83,-85.324,1916,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
351080,Galeras,Colombia,South America,Complex,Eruption Observed,2014,1.22,-77.37,4276,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
223020,Nyamuragira,DR Congo,Africa and Red Sea,Shield,Eruption Observed,2015,-1.408,29.2,3058,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
243040,Hunga Tonga-Hunga Ha'apai,Tonga,New Zealand to Fiji,Submarine,Eruption Observed,2015,-20.536,-175.382,114,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
261140,Marapi,Indonesia,Indonesia,Complex,Eruption Observed,2015,-0.381,100.473,2891,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263340,Raung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015,-8.119,114.056,3260,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264050,Sangeang Api,Indonesia,Indonesia,Complex,Eruption Observed,2015,-8.2,119.07,1949,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
264260,"Tara, Batu",Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015,-7.791,123.585,633,Trachybasalt / Tephrite Basanite,Subduction Zone / Oceanic Crust (< 15 km)
264270,Sirung,Indonesia,Indonesia,Complex,Eruption Observed,2015,-8.508,124.13,862,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
266100,Lokon-Empung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015,1.358,124.792,1580,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
282050,Kuchinoerabujima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,2015,30.443,130.217,657,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
283020,Hakoneyama,Japan,"Japan, Taiwan, Marianas",Complex,Eruption Dated,2015,35.233,139.021,1438,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
283110,Asamayama,Japan,"Japan, Taiwan, Marianas",Complex,Eruption Observed,2015,36.406,138.523,2568,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
284096,Nishinoshima,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,2015,27.247,140.874,25,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
284305,Mariana Back-Arc Segment at 15.5°N,United States,"Japan, Taiwan, Marianas",Submarine,Eruption Observed,2015,15.406,144.506,-4100,No Data,Subduction Zone / Oceanic Crust (< 15 km)
311360,Shishaldin,United States,Alaska,Stratovolcano,Eruption Observed,2015,54.756,-163.97,2857,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
331021,Axial Seamount,Undersea Features,Hawaii and Pacific Ocean,Submarine,Eruption Observed,2015,45.95,-130,-1410,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
353020,Wolf,Ecuador,South America,Shield,Eruption Observed,2015,0.02,-91.35,1710,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
358020,Calbuco,Chile,South America,Stratovolcano,Eruption Observed,2015,-41.33,-72.618,1974,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
360160,Kick 'em Jenny,Grenada,West Indies,Submarine,Eruption Observed,2015,12.3,-61.64,-185,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
373030,Bardarbunga,Iceland,Iceland and Arctic Ocean,Stratovolcano,Eruption Observed,2015,64.633,-17.516,2000,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
384010,Fogo,Cape Verde,Atlantic Ocean,Stratovolcano,Eruption Observed,2015,14.95,-24.35,2829,Foidite,Intraplate / Intermediate Crust (15-25 km)
390090,Saunders,United Kingdom,Antarctica,Stratovolcano,Eruption Observed,2015,-57.8,-26.483,843,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
211040,Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
211060,Etna,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016,37.734,15.004,3330,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
221080,Erta Ale,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,2016,13.6,40.67,613,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
223030,Nyiragongo,DR Congo,Africa and Red Sea,Stratovolcano,Eruption Observed,2016,-1.52,29.25,3470,Foidite,Rift Zone / Continental Crust (>25 km)
233020,"Fournaise, Piton de la",France,Middle East and Indian Ocean,Shield,Eruption Observed,2016,-21.244,55.708,2632,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
234010,Heard,Australia,Middle East and Indian Ocean,Stratovolcano,Eruption Observed,2016,-53.106,73.513,2745,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic Crust (< 15 km)
241040,White Island,New Zealand,New Zealand to Fiji,Stratovolcano,Eruption Observed,2016,-37.52,177.18,321,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
251020,Manam,Papua New Guinea,Melanesia and Australia,Stratovolcano,Eruption Observed,2016,-4.08,145.037,1807,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
252010,Langila,Papua New Guinea,Melanesia and Australia,Complex,Eruption Observed,2016,-5.525,148.42,1330,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
252120,Ulawun,Papua New Guinea,Melanesia and Australia,Stratovolcano,Eruption Observed,2016,-5.05,151.33,2334,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
255020,Bagana,Papua New Guinea,Melanesia and Australia,Lava cone,Eruption Observed,2016,-6.137,155.196,1855,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
257040,Ambrym,Vanuatu,Melanesia and Australia,Pyroclastic shield,Eruption Observed,2016,-16.25,168.12,1334,Basalt / Picro-Basalt,Subduction Zone / Intermediate Crust (15-25 km)
257100,Yasur,Vanuatu,Melanesia and Australia,Stratovolcano,Eruption Observed,2016,-19.53,169.442,361,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
260010,Barren Island,India,Indonesia,Stratovolcano,Eruption Observed,2016,12.278,93.858,354,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
261080,Sinabung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,3.17,98.392,2460,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261170,Kerinci,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,-1.697,101.264,3800,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263300,Semeru,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,-8.108,112.92,3676,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263310,Tengger Caldera,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,-7.942,112.95,2329,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
264030,Rinjani,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,-8.42,116.47,3726,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266030,Soputan,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,1.112,124.737,1785,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
267020,Karangetang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,2.78,125.4,1784,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268010,Dukono,Indonesia,Indonesia,Complex,Eruption Observed,2016,1.693,127.894,1229,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268030,Ibu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,1.488,127.63,1325,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268060,Gamalama,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016,0.8,127.33,1715,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
272020,Kanlaon,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,2016,10.412,123.132,2435,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273010,Bulusan,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,2016,12.77,124.05,1565,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
282030,Suwanosejima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,2016,29.638,129.714,796,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
282080,Aira,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,2016,31.593,130.657,1117,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
282110,Asosan,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,2016,32.884,131.104,1592,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
290150,Chirpoi,Russia,Kuril Islands,Caldera,Eruption Observed,2016,46.525,150.875,742,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
290260,Chirinkotan,Russia,Kuril Islands,Stratovolcano,Eruption Observed,2016,48.98,153.48,724,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
290360,Chikurachki,Russia,Kuril Islands,Stratovolcano,Eruption Observed,2016,50.324,155.461,1781,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
290380,Ebeko,Russia,Kuril Islands,Stratovolcano,Eruption Observed,2016,50.686,156.014,1103,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
290390,Alaid,Russia,Kuril Islands,Stratovolcano,Eruption Observed,2016,50.861,155.565,2285,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
300120,Zhupanovsky,Russia,Kamchatka and Mainland Asia,Compound,Eruption Observed,2016,53.589,159.15,2899,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300130,Karymsky,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,2016,54.049,159.443,1513,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300250,Bezymianny,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,2016,55.972,160.595,2882,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300260,Klyuchevskoy,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,2016,56.056,160.642,4754,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
300270,Sheveluch,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,2016,56.653,161.36,3283,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
311240,Cleveland,United States,Alaska,Stratovolcano,Eruption Observed,2016,52.825,-169.944,1730,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
312030,Pavlof,United States,Alaska,Stratovolcano,Eruption Observed,2016,55.417,-161.894,2493,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
332010,Kilauea,United States,Hawaii and Pacific Ocean,Shield,Eruption Observed,2016,19.421,-155.287,1222,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
341040,Colima,Mexico,México and Central America,Stratovolcano,Eruption Observed,2016,19.514,-103.62,3850,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
341090,Popocatepetl,Mexico,México and Central America,Stratovolcano,Eruption Observed,2016,19.023,-98.622,5426,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
342030,Santa Maria,Guatemala,México and Central America,Stratovolcano,Eruption Observed,2016,14.756,-91.552,3772,Dacite,Subduction Zone / Continental Crust (>25 km)
342090,Fuego,Guatemala,México and Central America,Stratovolcano,Eruption Observed,2016,14.473,-90.88,3763,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
342110,Pacaya,Guatemala,México and Central America,Complex,Eruption Observed,2016,14.381,-90.601,2552,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
343100,San Miguel,El Salvador,México and Central America,Stratovolcano,Eruption Observed,2016,13.434,-88.269,2130,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
344020,San Cristobal,Nicaragua,México and Central America,Stratovolcano,Eruption Observed,2016,12.702,-87.004,1745,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
344040,Telica,Nicaragua,México and Central America,Stratovolcano,Eruption Observed,2016,12.602,-86.845,1061,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
344090,Momotombo,Nicaragua,México and Central America,Stratovolcano,Eruption Observed,2016,12.422,-86.54,1297,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
344100,Masaya,Nicaragua,México and Central America,Caldera,Eruption Observed,2016,11.984,-86.161,635,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
345040,Poas,Costa Rica,México and Central America,Stratovolcano,Eruption Observed,2016,10.2,-84.233,2708,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
345070,Turrialba,Costa Rica,México and Central America,Stratovolcano,Eruption Observed,2016,10.025,-83.767,3340,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
351020,"Ruiz, Nevado del",Colombia,South America,Stratovolcano,Eruption Observed,2016,4.892,-75.324,5279,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352010,Reventador,Ecuador,South America,Stratovolcano,Eruption Observed,2016,-0.077,-77.656,3562,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352050,Cotopaxi,Ecuador,South America,Stratovolcano,Eruption Observed,2016,-0.677,-78.436,5911,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352080,Tungurahua,Ecuador,South America,Stratovolcano,Eruption Observed,2016,-1.467,-78.442,5023,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352090,Sangay,Ecuador,South America,Stratovolcano,Eruption Observed,2016,-2.005,-78.341,5286,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
354006,Sabancaya,Peru,South America,Stratovolcano,Eruption Observed,2016,-15.78,-71.85,5967,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
354020,Ubinas,Peru,South America,Stratovolcano,Eruption Observed,2016,-16.355,-70.903,5672,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
355100,Lascar,Chile,South America,Stratovolcano,Eruption Observed,2016,-23.37,-67.73,5592,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
357070,"Chillan, Nevados de",Chile,South America,Stratovolcano,Eruption Observed,2016,-36.863,-71.377,3212,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
357090,Copahue,Chile-Argentina,South America,Stratovolcano,Eruption Observed,2016,-37.856,-71.183,2953,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
357120,Villarrica,Chile,South America,Stratovolcano,Eruption Observed,2016,-39.42,-71.93,2847,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
390020,Erebus,Antarctica,Antarctica,Stratovolcano,Eruption Observed,2016,-77.53,167.17,3794,Phonolite,Intraplate / Continental Crust (>25 km)
390080,Bristol Island,United Kingdom,Antarctica,Stratovolcano,Eruption Observed,2016,-59.017,-26.533,1100,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
390130,Zavodovski,United Kingdom,Antarctica,Stratovolcano,Eruption Observed,2016,-56.3,-27.57,551,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
323200,Salton Buttes,United States,Canada and Western USA,Lava dome,Eruption Dated,210,33.197,-115.616,-40,Rhyolite,Rift Zone / Continental Crust (>25 km)
360020,"Quill, The",Netherlands,West Indies,Stratovolcano,Eruption Dated,250,17.478,-62.96,601,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
241070,Taupo,New Zealand,New Zealand to Fiji,Caldera,Eruption Dated,260,-38.82,176,760,Rhyolite,Subduction Zone / Continental Crust (>25 km)
352011,Pululagua,Ecuador,South America,Caldera,Eruption Dated,290,0.038,-78.463,3356,Dacite,Subduction Zone / Continental Crust (>25 km)
355012,Parinacota,Chile-Bolivia,South America,Stratovolcano,Eruption Dated,290,-18.166,-69.142,6336,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300082,Tolmachev Dol,Russia,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,300,52.63,157.58,1021,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
314060,Imuruk Lake,United States,Alaska,Shield,Eruption Dated,300,65.517,-163.45,610,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
